categoria, nombre, pistas, conflictos, tiempo(ms),,,,,,,,,,,,,,,
facil,s01a.txt,33,0,60,,0,58,,0,62,,0,58,,0,56,,0,51.4
facil,s01b.txt,36,0,52,,0,48,,0,48,,0,54,,0,48,,0,47.8
facil,s01c.txt,32,0,76,,0,69,,0,83,,0,70,,0,74,,0,71.2
facil,s02a.txt,30,0,70,,0,68,,0,68,,0,68,,0,72,,0,65.3
facil,s02b.txt,28,0,70,,0,74,,0,68,,0,69,,0,70,,0,61.5
facil,s02c.txt,28,0,73,,0,70,,0,70,,0,68,,0,76,,0,58.7
facil,s03a.txt,28,0,118,,0,116,,0,114,,0,110,,0,124,,0,99
facil,s03b.txt,26,0,122,,0,116,,0,122,,0,126,,0,121,,0,102.6
facil,s03c.txt,27,0,1816,,0,988,,0,910,,0,4471,,0,444,,0,648.7
facil,s04a.txt,28,0,921,,0,570,,0,1298,,0,372,,0,869,,0,654.3
facil,s04b.txt,27,0,401,,0,186,,0,342,,0,385,,0,513,,0,978.3
facil,s04c.txt,28,0,1591,,0,164,,0,230,,0,928,,0,1741,,0,1224.9
facil,s05a.txt,30,0,621,,0,2473,,0,1625,,0,1462,,0,2826,,0,397.8
facil,s05b.txt,28,0,5516,,0,2210,,0,1535,,0,654,,0,1793,,0,1051.8
facil,s05c.txt,26,0,1807,,0,1603,,0,206,,0,334,,0,2274,,0,880.3
facil,s06a.txt,36,0,42,,0,41,,0,44,,0,48,,0,49,,0,39.6
facil,s06b.txt,39,0,40,,0,40,,0,44,,0,48,,0,46,,0,40.4
facil,s06c.txt,36,0,42,,0,40,,0,44,,0,46,,0,46,,0,40.6
facil,s07a.txt,25,0,84,,0,82,,0,89,,0,93,,0,92,,0,81.6
facil,s07b.txt,25,0,125,,0,126,,0,134,,0,142,,0,140,,0,119.8
facil,s07c.txt,25,0,82,,0,84,,0,96,,0,94,,0,102,,0,83.1
facil,s08a.txt,22,0,1433,,0,168,,0,1067,,0,679,,0,815,,0,478
facil,s08b.txt,23,0,186,,0,670,,0,416,,0,245,,0,605,,0,770.9
facil,s08c.txt,22,0,541,,0,143,,0,1064,,0,180,,0,615,,0,249.8
facil,s09a.txt,23,0,156,,0,705,,0,3619,,0,751,,0,151,,0,909.2
facil,s09b.txt,22,0,379,,0,2976,,0,464,,0,815,,0,1014,,0,1133.7
facil,s09c.txt,22,0,1448,,0,934,,0,1660,,0,1117,,0,330,,0,376.9
facil,s10a.txt,31,0,63,,0,60,,0,64,,0,68,,0,68,,0,66.4
facil,s10b.txt,31,0,72,,0,59,,0,62,,0,85,,0,68,,0,63.6
facil,s10c.txt,32,0,62,,0,60,,0,64,,0,67,,0,70,,0,62.6
facil,s11a.txt,28,0,142,,0,138,,0,359,,0,164,,0,165,,0,755.2
facil,s11b.txt,26,0,144,,0,119,,0,135,,0,142,,0,144,,0,119.4
facil,s11c.txt,28,0,88,,0,83,,0,82,,0,93,,0,92,,0,82
facil,s12a.txt,22,0,18921,,0,20369,,0,270,,0,2642,,0,2461,,0,10218
facil,s12b.txt,26,0,682,,0,1367,,0,6354,,0,2212,,0,6271,,0,2532
facil,s12c.txt,23,0,376,,0,1788,,0,2913,,0,190,,0,991,,0,1187.4
facil,s13a.txt,32,0,60,,0,62,,0,62,,0,72,,0,68,,0,62
facil,s13b.txt,33,0,62,,0,58,,0,62,,0,70,,0,68,,0,63.2
facil,s13c.txt,37,0,62,,0,59,,0,60,,0,70,,0,70,,0,61.4
facil,s14a.txt,29,0,102,,0,100,,0,104,,0,116,,0,116,,0,102.1
facil,s14b.txt,32,0,126,,0,144,,0,551,,0,410,,0,167,,0,674.3
facil,s14c.txt,31,0,904,,0,351,,0,628,,0,1510,,0,306,,0,710.2
facil,s15a.txt,27,0,2074,,0,1200,,0,1652,,0,1039,,0,1965,,0,1796.9
facil,s15b.txt,27,0,1772,,0,396,,0,1260,,0,1794,,0,2510,,0,2104.3
facil,s15c.txt,24,0,5086,,0,1986,,0,880,,0,2444,,0,7812,,0,4667.9
facil,s16.txt,23,2,1220877,,0,32650,,0,7385,,0,72316,,0,31626,,0,38903.2
facil,u01.txt,26,0,388647,,,,,,,,0,42,,0,1547,,0,2336.6
facil,u02.txt,21,2,1412580,,,,,,,,0,16764,,0,26,,0,7681.4
